Date,SPY,EEM,VGK,TLT,IEF,HYG,GLD,USO,VNQ,DBA
2019-01-03,-0.024152130220462094,-0.01829698354868267,-0.007473527162419682,0.011315549668363425,0.00791694976386585,0.0004941016079890133,0.00902531942317299,0.010101038089280463,0.0069670213329998745,0.0035420019062710937
2019-01-04,0.03294700809713017,0.031740288220493795,0.029564622281125812,-0.011642864522159152,-0.008108807592204309,0.016643831188921245,-0.008119106827353268,0.0228525090991826,0.011639146688906666,-0.0017694651314513158
2019-01-07,0.007853762624283429,0.0022652376642050766,0.004441072073646642,-0.0029527278621095995,-0.0027816333619812626,0.009663677505017832,0.0034525160778516237,0.010747505038418521,0.009774699531858307,0.012903416466563846
2019-01-08,0.009351623602419847,0.0037635812623393796,0.008024159113119236,-0.002631526706798484,-0.0025002285997625627,0.006469895009671523,-0.0027117139907279018,0.020202711024708143,0.020441811979887804,0.00696864666054466
2019-01-09,0.004662392360919948,0.017625082086943095,0.012508855784462305,-0.0015659484017373855,0.0005776441156863487,0.0011935191756380133,0.006397649700215412,0.05105518806135765,-0.001436798797239251,0.0017346160509736346
2019-01-10,0.0035213838859228784,0.007110295352586719,0.0011829875877798282,-0.006454305261978632,-0.00048167891529669285,0.003928787625239483,-0.005904086348646452,0.004514697460094532,0.01350497341188452,-0.007538497258245528
2019-01-11,0.0003863440532233198,-0.00489828235328073,-0.004147021144002264,0.003894242866698145,0.0029807245400125582,-0.00321351807992039,0.0017256811414607263,-0.018182388447055144,0.0028336453717319526,0.0034863693597922017
2019-01-14,-0.006119660670513485,-0.00838258748631079,-0.004959790507962368,-0.0037283689656957665,-0.0005764611406397033,-0.0032234134062802088,0.002378067354322114,-0.01945406845412085,-0.003349758136071049,-0.004651134813064713
2019-01-15,0.01139589160737325,0.006908345714794053,0.0011923930010979274,-0.0036587742011776536,-0.0009607869596655388,0.0033430383953155537,-0.0017215161032263467,0.028586587014616627,0.009504376558167923,-0.004672804727872172
2019-01-16,0.0024165441656337156,0.012219010282758761,0.0017863561299363805,0.0009996262981722067,-0.0005772617099155744,0.001548143066772558,0.0031947551186356582,0.005439761235844491,0.007005924005269274,0.0011702819132660834
2019-01-17,0.007558172521792332,0.004362487585508494,0.0041555119778284005,0.00024934415687893826,-0.0018293155675815718,0.0027328454900925657,-0.0013094038577051105,-0.0027162249781250676,0.004812023911975086,0.005830953900180002
2019-01-18,0.013221980643449963,0.0048252316132639,0.011778856341054472,-0.005255552984496739,-0.003185482179441919,0.002845158374266396,-0.008966489387798326,0.025068518173326417,0.003404888406889809,0.004640215574970662
2019-01-22,-0.013602411626968375,-0.017480457197169414,-0.013162235734181895,0.006752323166112413,0.0034745531701388175,-0.006650170659840875,0.0035468368649853345,-0.01694204869842973,-0.0030258970498513948,-0.008718502771647261
