Date,Actual_Return,HS_VaR_99,HS_ES_99,Param_VaR_99,Param_ES_99,MC_GARCH_VaR_99,MC_GARCH_ES_99
2020-12-28,0.0019528297169183,-0.030657643098543453,-0.0526106704164382,-0.0189109341217379,-0.021727930569683047,-0.008957257021337787,-0.010069633382014874
2020-12-29,0.001165685830383,-0.030657643098543453,-0.0526106704164382,-0.018901795187316807,-0.021718631221003676,-0.009460667494974689,-0.010594547509652174
2020-12-30,0.0039536508615457,-0.030657643098543453,-0.0526106704164382,-0.0188884353258207,-0.021700331161942928,-0.009180828649236911,-0.01078824686143688
2020-12-31,0.0024877190445506,-0.030657643098543453,-0.0526106704164382,-0.018888206977206688,-0.021699800848670275,-0.008863926576855901,-0.009902035587908442
2021-01-04,-0.0032290702023302,-0.030657643098543453,-0.0526106704164382,-0.018888079020694212,-0.021698748297226803,-0.009002945122785648,-0.010618913404640612
2021-01-05,0.005738983598523,-0.030657643098543453,-0.0526106704164382,-0.018900963763322315,-0.02171071650952025,-0.01260096238056144,-0.014034725675804105
2021-01-06,-0.0040980634513319,-0.030657643098543453,-0.0526106704164382,-0.018899281291514598,-0.021710192724322477,-0.011973853921499529,-0.013295326680212573
2021-01-07,0.0027015299232089,-0.030657643098543453,-0.0526106704164382,-0.01891238836634511,-0.021724105415999218,-0.011617213083576224,-0.012884307168727632
2021-01-08,0.0015926160515509,-0.030657643098543453,-0.0526106704164382,-0.018892692779955762,-0.021703641641769134,-0.013431002636719957,-0.015125641044965412
2021-01-11,-0.006562571894222,-0.030657643098543453,-0.0526106704164382,-0.018894236701164777,-0.02170462312972354,-0.012677485977745926,-0.013514077651805626
2021-01-12,0.0039560581738576,-0.030657643098543453,-0.0526106704164382,-0.01892506255794961,-0.021737133914989118,-0.012157607266096741,-0.013538927364534287
2021-01-13,0.0034787161330738,-0.030657643098543453,-0.0526106704164382,-0.01892470028816467,-0.02173705402236244,-0.011139942275075367,-0.013586060301904129
2021-01-14,0.0006708448373163,-0.030657643098543453,-0.0526106704164382,-0.018924760059072513,-0.02173697455231703,-0.011047611429169333,-0.012887439973406254
2021-01-15,-0.0045047060037992,-0.030657643098543453,-0.0526106704164382,-0.018901683966257344,-0.021712390124610275,-0.011313034580222295,-0.013362644439333975
2021-01-19,0.0053569231405433,-0.030657643098543453,-0.0526106704164382,-0.01892023920555634,-0.02173186253741929,-0.011785925857074095,-0.013786719086761021
2021-01-20,0.0077977074607488,-0.030657643098543453,-0.0526106704164382,-0.018920484371062328,-0.021732863695081223,-0.010651578853526507,-0.012610285881745531
2021-01-21,-0.0010337454451387,-0.030657643098543453,-0.0526106704164382,-0.018924246678921276,-0.021737949948197603,-0.011385119742504755,-0.012795617146534665
