Date,Portfolio
2019-01-03,-0.0020660083550561215
2019-01-04,0.01144320486622691
2019-01-07,0.004875983793049796
2019-01-08,0.005597454371152357
2019-01-09,0.006359332605802065
2019-01-10,0.0009205039212472415
2019-01-11,-0.0003098420049666886
2019-01-14,-0.0045094240431853274
2019-01-15,0.004295154036233962
2019-01-16,0.0030667638932604783
2019-01-17,0.0028056510167239167
2019-01-18,0.003986552406118475
2019-01-22,-0.005689774383039678
2019-01-23,0.0016246744233116698
2019-01-24,0.002884528900478868
2019-01-25,0.005134359894923706
2019-01-28,-0.003145809111342724
2019-01-29,0.0030171474543500775
2019-01-30,0.008646277481469646
2019-01-31,0.00465658193306425
2019-02-01,-0.001400711040333704
2019-02-04,0.0014457101772280497
2019-02-05,0.003346500265644336
2019-02-06,-0.002462103279049767
2019-02-07,-0.003673720205880688
2019-02-08,0.00020769581132417986
2019-02-11,-0.0016474673830050798
2019-02-12,0.0046737553120528175
2019-02-13,-0.00021766112865848013
2019-02-14,0.0018431992309757672
2019-02-15,0.0063719215371188685
2019-02-19,0.0034425495722637946
2019-02-20,0.00032894490095251215
2019-02-21,-0.004039126934748166
2019-02-22,0.005001646214560943
2019-02-25,-0.002361627009148207
2019-02-26,0.0013223380332146233
2019-02-27,-0.002797151482275449
2019-02-28,-0.0029542072826369004
2019-03-01,-0.0027541747480537867
2019-03-04,0.000608796271990703
2019-03-05,0.0017483890354801385
2019-03-06,-0.0022423186700490263
2019-03-07,-0.003615312986276602
2019-03-08,0.0008967552840138716
2019-03-11,0.005720369897934029
2019-03-12,0.004123410831070718
2019-03-13,0.00469034225999974
2019-03-14,-0.002079393173047075
2019-03-15,0.005311600215832748
2019-03-18,0.0017952747323503777
2019-03-19,-0.0002843114424536706
2019-03-20,0.004232855489597335
2019-03-21,0.0036343071361448448
2019-03-22,-0.006677479219283888
2019-03-25,0.0017431923633258188
2019-03-26,0.002963514824087221
2019-03-27,-0.0017078978018011672
2019-03-28,0.0007974285723083901
2019-03-29,0.002221220296444458
2019-04-01,0.003134412074909625
2019-04-02,0.0025058064300198667
2019-04-03,0.00010651494846393862
2019-04-04,0.002236353975282576
2019-04-05,0.0032007960993652436
2019-04-08,0.00015568210340205328
2019-04-09,-0.0013860167724553737
2019-04-10,0.003938997918068531
2019-04-11,-0.00409944048645151
2019-04-12,0.0018936187637453492
2019-04-15,-0.0009276522317841912
2019-04-16,-0.0035149630315547144
2019-04-17,-0.001692033438901872
2019-04-18,0.00251534025252864
2019-04-22,-0.0017542216406108372
2019-04-23,0.003725215536400924
2019-04-24,-0.000895611024121515
2019-04-25,-0.001579981342256143
2019-04-26,0.0021003395984867234
2019-04-29,-0.001580771116727784
2019-04-30,0.0024252517453675643
2019-05-01,-0.003211117115225594
2019-05-02,-0.0030830706213545037
2019-05-03,0.005485948979023038
2019-05-06,-0.00248647051304309
2019-05-07,-0.008091330571850734
2019-05-08,-0.0011311169326615324
2019-05-09,-0.0016703695801138095
2019-05-10,0.003009647711915135
2019-05-13,-0.008617538840662726
2019-05-14,0.0052988691722090624
2019-05-15,0.003969076213368237
2019-05-16,0.0029127251675968744
2019-05-17,-0.004609890782633252
2019-05-20,-0.0027070061288814763
2019-05-21,0.003993716884408336
2019-05-22,-0.0016029053965484362
2019-05-23,-0.004429238784998939
2019-05-24,0.0029259777292283233
2019-05-28,-0.0010270073843926199
2019-05-29,-0.0023004421670791758
2019-05-30,0.0031426484936972624
2019-05-31,-0.002905270758184718
2019-06-03,0.003348201046715325
2019-06-04,0.004955833837831892
2019-06-05,-0.00040567247895498444
2019-06-06,0.0051149397855445415
2019-06-07,0.006335839923083517
2019-06-10,-0.0011619575961294192
2019-06-11,0.001919287874349855
2019-06-12,-0.0025298787807433347
2019-06-13,0.003909435092409995
2019-06-14,-0.0009794239732078913
2019-06-17,0.0010947774153375746
2019-06-18,0.00874691199615673
2019-06-19,0.003457986131136047
2019-06-20,0.009988084353762208
2019-06-21,-0.0037591332931641128
2019-06-24,0.0027374180493727838
2019-06-25,-0.0038347850621815727
2019-06-26,-0.0020484260709960726
2019-06-27,0.004087609961386269
2019-06-28,0.00012808098738232383
2019-07-01,0.0014700831972599175
2019-07-02,0.0029180760820780357
2019-07-03,0.005962763325555591
2019-07-05,-0.00560205132145886
2019-07-08,-0.002455383966765467
2019-07-09,0.0007606051495098671
2019-07-10,0.005452827430636518
2019-07-11,-0.0037800617887901126
2019-07-12,0.0023149112442288223
2019-07-15,-9.10981471457542e-05
2019-07-16,-0.004390874096779865
2019-07-17,-1.527212907157427e-05
2019-07-18,0.001902995804807267
2019-07-19,-0.004149454187372347
2019-07-22,0.0009021960253331358
2019-07-23,0.002227441921598728
2019-07-24,0.0015496101058941967
2019-07-25,-0.005097079818400817
2019-07-26,0.0027723196381875086
2019-07-29,0.0010523049454259975
2019-07-30,-0.00030972006707921434
2019-07-31,-0.005169847393082222
2019-08-01,-0.0011757225741266654
2019-08-02,-0.0008460655176660773
2019-08-05,-0.008880617023858997
2019-08-06,0.0062972320987742
2019-08-07,0.001618020978928705
2019-08-08,0.009156167523848235
2019-08-09,-0.001787299472146344
2019-08-12,-0.0017937166593720694
2019-08-13,0.005712448321442443
2019-08-14,-0.009502472079728395
2019-08-15,0.004325511453380134
2019-08-16,0.00396480473182857
2019-08-19,0.0011804701998300074
2019-08-20,0.0004633266693814458
2019-08-21,0.002431391065339233
2019-08-22,-0.0022764318774154356
2019-08-23,-0.0061115528855316655
2019-08-26,0.0043489416689495184
2019-08-27,0.0033503781619756727
2019-08-28,0.0030957086340500867
2019-08-29,0.00367030994403667
2019-08-30,-0.0008406027364491066
2019-09-03,-0.0007556082744883888
2019-09-04,0.009037643194013331
2019-09-05,-0.00292943477887386
2019-09-06,0.0011631209561114202
2019-09-09,-0.0022867109721321365
2019-09-10,-0.004218406360972777
2019-09-11,0.0015381019943028014
2019-09-12,0.0016178405636161591
2019-09-13,-0.0054396338794975505
2019-09-16,0.008721278350925649
2019-09-17,0.00025505977452540917
2019-09-18,-0.001314325257379417
2019-09-19,0.0015442009335706508
2019-09-20,0.002361170199551339
2019-09-23,0.0011392249819137806
2019-09-24,-0.0014575467503406931
2019-09-25,-0.0037250150449270147
2019-09-26,0.0018000495366553965
2019-09-27,-0.0033685971573256383
2019-09-30,-1.0363301410556665e-05
2019-10-01,-0.00403093821821478
2019-10-02,-0.00612337626866882
2019-10-03,0.0062825902953485635
2019-10-04,0.00570758976652902
2019-10-07,-0.004847185782692148
2019-10-08,-0.004096586527327156
2019-10-09,0.0031407852699185178
2019-10-10,-4.224832046489447e-05
2019-10-11,0.00405220536008549
2019-10-14,-6.976093396248226e-05
2019-10-15,0.0007870110201626456
2019-10-16,0.0010607750534336819
2019-10-17,0.002032028252479151
2019-10-18,-0.000736454172342213
2019-10-21,0.0008775899223912662
2019-10-22,0.0006531520438613027
2019-10-23,0.003177705267281944
2019-10-24,0.0009718782173777023
2019-10-25,0.0006479116409869733
2019-10-28,-0.0015353874300921247
2019-10-29,-0.0008659412861914952
2019-10-30,0.004459831151924369
2019-10-31,0.0008875895949408161
2019-11-01,0.005680247332575474
2019-11-04,-0.0006867566109976755
2019-11-05,-0.004185035682464469
2019-11-06,0.0004934420785557915
2019-11-07,-0.004315491629235013
2019-11-08,-0.0011840574842882094
2019-11-11,-0.001514642751963345
2019-11-12,0.0010101497149051987
2019-11-13,0.0017107182266026485
2019-11-14,0.003071144248223025
2019-11-15,0.0031948337105747147
2019-11-18,3.028424511354106e-05
2019-11-19,-0.00040712039981835384
2019-11-20,0.0015265423991759318
2019-11-21,-0.001920692519643261
2019-11-22,0.00021421390512354961
2019-11-25,0.004087434407826196
2019-11-26,0.0031242296131715292
2019-11-27,-4.078836024799668e-05
2019-11-29,-0.004686749474059978
2019-12-02,-0.005938548683536258
2019-12-03,0.0040602791331571676
2019-12-04,0.0026825152829242412
2019-12-05,0.0002299095857171134
2019-12-06,0.0018395501612293757
2019-12-09,-0.0003821342901357457
2019-12-10,0.0008681139213975071
2019-12-11,0.003271255800715882
2019-12-12,0.00010044777130531219
2019-12-13,0.00395133807518587
2019-12-16,0.0034983208464023623
2019-12-17,-0.00039238107109456667
2019-12-18,-8.501254153756504e-05
2019-12-19,0.001777485043622056
2019-12-20,0.001401666939819863
2019-12-23,0.0001418106477614888
2019-12-24,0.002238536185879339
2019-12-26,0.00436509305340233
2019-12-27,0.0017900132507472307
2019-12-30,-0.0026162754397312605
2019-12-31,-1.660007740173099e-05
2020-01-02,0.006149504553025276
2020-01-03,0.0013817486469685362
2020-01-06,0.0009992115439356438
2020-01-07,-0.002385209492076547
2020-01-08,-0.0021054339989641864
2020-01-09,0.0016978751901060045
2020-01-10,0.0026155161353482053
2020-01-13,0.0013151503021290793
2020-01-14,0.0005685991833577739
2020-01-15,0.002174123122583501
2020-01-16,0.0020140566649556445
2020-01-17,0.0009601460528819227
2020-01-21,-0.0007504153441272632
2020-01-22,-0.0006065263166026922
2020-01-23,-0.0001923082150853604
2020-01-24,-0.002999331020354159
2020-01-27,-0.007487856847725348
2020-01-28,0.0030381660215604155
2020-01-29,0.0014153396903107017
2020-01-30,-0.001194573049783822
2020-01-31,-0.006836242351664401
2020-02-03,6.565422856000827e-06
2020-02-04,0.0036110522238753597
2020-02-05,0.003214801762740601
2020-02-06,0.003171705479323174
2020-02-07,-0.0008630570364183077
2020-02-10,0.0031888500311940773
2020-02-11,0.0016135693592044848
2020-02-12,0.003928572719505116
2020-02-13,0.0004960753407430693
2020-02-14,0.003137232652318026
2020-02-18,0.0013463594108669543
2020-02-19,0.002499664589298037
2020-02-20,0.00049366194353375
2020-02-21,0.00022539711571161445
2020-02-24,-0.014501366590012898
2020-02-25,-0.013676359961399948
2020-02-26,-0.002546133308821361
2020-02-27,-0.020003574518033522
2020-02-28,-0.004618446592747214
2020-03-02,0.01807880616659648
2020-03-03,-0.000700640714396927
2020-03-04,0.014098006272595281
2020-03-05,-0.009355627837087748
2020-03-06,-0.00554831070459322
2020-03-09,-0.04979674362581989
2020-03-10,0.01581194592538429
2020-03-11,-0.03500349700751696
2020-03-12,-0.05839620581272612
2020-03-13,0.03182683624585383
2020-03-16,-0.06302518298442128
2020-03-17,0.009607814916723622
2020-03-18,-0.05683172265170704
2020-03-19,0.010613717842498361
2020-03-20,-0.004282439448843615
