Date,SPY,EEM,VGK,TLT,IEF,HYG,GLD,USO,VNQ,DBA
2019-01-02,224.9953155517578,33.319091796875,38.42891311645508,100.17533111572266,88.56710052490234,55.658565521240234,121.33000183105469,78.80000305175781,56.1170768737793,14.691275596618652
2019-01-03,219.6262969970703,32.714996337890625,38.142784118652344,101.3153076171875,89.27106475830078,55.686073303222656,122.43000030517578,79.5999984741211,56.5094108581543,14.743404388427734
2019-01-04,226.98284912109375,33.77003479003906,39.287296295166016,100.14254760742188,88.55010986328125,56.62065887451172,121.44000244140625,81.44000244140625,57.17097473144531,14.717339515686035
2019-01-07,228.7725372314453,33.84661865234375,39.462162017822266,99.8472900390625,88.30413818359375,57.170475006103516,121.86000061035156,82.31999969482422,57.7325439453125,14.90847396850586
2019-01-08,230.92196655273438,33.9742431640625,39.780086517333984,99.58488464355469,88.08363342285156,57.541561126708984,121.52999877929688,84.0,58.92484664916992,15.012728691101074
2019-01-09,232.00112915039062,34.57835006713867,40.28081512451172,99.42906188964844,88.13452911376953,57.61027908325195,122.30999755859375,88.4000015258789,58.84024429321289,15.038792610168457
2019-01-10,232.8195343017578,34.82508850097656,40.328495025634766,98.78938293457031,88.09208679199219,57.83706283569336,121.58999633789062,88.80000305175781,59.6402702331543,14.925848960876465
2019-01-11,232.9095001220703,34.65492248535156,40.161598205566406,99.17484283447266,88.35505676269531,57.6515007019043,121.80000305175781,87.19999694824219,59.80950927734375,14.97797679901123
2019-01-14,231.488525390625,34.365638732910156,39.96289825439453,98.80577087402344,88.30413818359375,57.465965270996094,122.08999633789062,85.5199966430664,59.6094970703125,14.90847396850586
2019-01-15,234.14163208007812,34.6038703918457,40.01057815551758,98.4449234008789,88.2193374633789,57.65839767456055,121.87999725341797,88.0,60.178749084472656,14.838972091674805
2019-01-16,234.7081298828125,35.02928924560547,40.082115173339844,98.54338073730469,88.16842651367188,57.74773025512695,122.2699966430664,88.4800033569336,60.601837158203125,14.856348037719727
2019-01-17,236.4888153076172,35.182437896728516,40.2490234375,98.56795501708984,88.00728607177734,57.90576171875,122.11000061035156,88.23999786376953,60.89415740966797,14.943227767944336
2019-01-18,239.6364288330078,35.35261154174805,40.725914001464844,98.05128479003906,87.72738647460938,58.07074737548828,121.0199966430664,90.4800033569336,61.10184860229492,15.012728691101074
2019-01-22,236.39886474609375,34.7400016784668,40.193382263183594,98.7155990600586,88.03273010253906,57.685848236083984,121.44999694824219,88.95999908447266,60.917240142822266,14.88240909576416
2019-01-23,236.8935089111328,35.09736251831055,40.503360748291016,98.674560546875,87.99031066894531,57.80271911621094,121.27999877929688,88.4000015258789,60.9249153137207,14.925848960876465
2019-01-24,237.01942443847656,35.43769836425781,40.447715759277344,99.32244873046875,88.27021026611328,57.864559173583984,121.08999633789062,89.36000061035156,61.13261795043945,14.934537887573242
2019-01-25,239.02491760253906,35.905670166015625,40.884864807128906,98.84680938720703,88.06663513183594,58.00887680053711,122.86000061035156,90.0,61.894187927246094,14.838972091674805
2019-01-28,237.20826721191406,35.531288146972656,40.694114685058594,98.74840545654297,88.09208679199219,57.919532775878906,123.29000091552734,87.5999984741211,62.50189971923828,14.84765911102295
2019-01-29,236.8935089111328,35.59085464477539,40.900760650634766,99.24861907958984,88.34654235839844,57.88516616821289,123.9800033569336,89.27999877929688,62.99420928955078,14.778156280517578
2019-01-30,240.6437225341797,36.365116119384766,41.27431869506836,99.17484283447266,88.55010986328125,58.34558868408203,124.69000244140625,91.19999694824219,63.501914978027344,14.7694673538208
2019-01-31,242.7572021484375,36.671424865722656,41.22663116455078,100.02771759033203,88.957275390625,58.489959716796875,124.75,90.80000305175781,64.16349029541016,14.69996452331543
2019-02-01,242.8740997314453,36.38213348388672,41.27431869506836,99.42362976074219,88.48125457763672,58.46162414550781,124.5,93.04000091552734,63.75579071044922,14.708651542663574
2019-02-04,244.582763671875,36.44169616699219,41.38560485839844,98.979736328125,88.28577423095703,58.59970474243164,123.95999908447266,92.0,64.23271942138672,14.873723983764648
2019-02-05,245.60809326171875,36.943687438964844,41.751197814941406,99.43182373046875,88.43875122070312,58.80683898925781,124.27999877929688,90.31999969482422,64.6019515991211,14.830283164978027
2019-02-06,245.2843017578125,36.44169616699219,41.60019302368164,99.48112487792969,88.5067138671875,58.75157928466797,123.44000244140625,90.55999755859375,64.17887878417969,14.865035057067871
2019-02-07,242.94601440429688,36.075828552246094,40.980247497558594,100.13870239257812,88.79576110839844,58.551353454589844,123.73999786376953,88.55999755859375,64.70967102050781,14.726028442382812
2019-02-08,243.2427978515625,35.87163162231445,40.829227447509766,100.56609344482422,88.91471099853516,58.53756332397461,124.20999908447266,88.63999938964844,64.70967102050781,14.621772766113281
2019-02-11,243.37771606445312,35.75251007080078,40.757694244384766,100.17159271240234,88.77867889404297,58.565181732177734,123.5999984741211,88.08000183105469,64.8865966796875,14.60439682006836
2019-02-12,246.5074462890625,36.050296783447266,41.210731506347656,99.91680145263672,88.65975952148438,58.848228454589844,123.86000061035156,89.27999877929688,64.47887420654297,14.673900604248047
2019-02-13,247.30784606933594,35.79505157470703,41.194847106933594,99.5386734008789,88.43875122070312,58.765419006347656,123.37000274658203,90.72000122070312,64.8096694946289,14.647838592529297
2019-02-14,246.75924682617188,35.863128662109375,41.194847106933594,100.10578155517578,88.85525512695312,58.77231216430664,124.05999755859375,91.83999633789062,65.01734161376953,14.517516136169434
2019-02-15,249.4481658935547,35.812068939208984,41.830684661865234,100.26199340820312,88.77024841308594,58.95868682861328,124.80000305175781,93.68000030517578,65.45580291748047,14.656525611877441
2019-02-19,249.87985229492188,36.09285354614258,42.06118392944336,100.5168228149414,88.92325592041016,58.979427337646484,126.69999694824219,94.23999786376953,65.44046020507812,14.595707893371582
2019-02-20,250.3834991455078,36.297054290771484,42.267826080322266,100.22911834716797,88.90625,59.02774429321289,126.4800033569336,95.44000244140625,65.03273010253906,14.500142097473145
2019-02-21,249.49319458007812,36.22047424316406,42.07707977294922,99.33317565917969,88.64273071289062,58.972511291503906,125.05000305175781,95.04000091552734,65.09428405761719,14.534893035888672
2019-02-22,251.0400390625,36.6203727722168,42.22808837890625,99.92495727539062,88.90625,59.0898551940918,125.5,95.5999984741211,65.47892761230469,14.560956954956055
2019-02-25,251.38185119628906,37.028778076171875,42.31551742553711,99.62911987304688,88.77024841308594,59.13820266723633,125.37000274658203,92.55999755859375,64.96349334716797,14.39588737487793
2019-02-26,251.20191955566406,36.90114974975586,42.6334342956543,100.12226867675781,89.03372955322266,59.21415328979492,125.58000183105469,93.04000091552734,64.76348114013672,14.369823455810547
2019-02-27,251.09405517578125,36.58633804321289,42.458580017089844,98.98796081542969,88.71929168701172,59.234840393066406,124.69000244140625,95.12000274658203,64.4404067993164,14.430639266967773
2019-02-28,250.62632751464844,36.10986328125,42.53012466430664,98.65096282958984,88.48975372314453,59.20034408569336,123.98999786376953,95.5999984741211,64.6096420288086,14.282944679260254
2019-03-01,252.1912841796875,36.152408599853516,42.832149505615234,97.73916625976562,88.19934844970703,59.3681755065918,121.87999725341797,93.27999877929688,64.4096450805664,14.291632652282715
2019-03-04,251.27381896972656,36.203460693359375,42.657283782958984,98.50520324707031,88.47187805175781,59.278011322021484,121.55999755859375,94.4000015258789,64.70196533203125,14.187376976013184
2019-03-05,250.93215942382812,36.56081008911133,42.712921142578125,98.71110534667969,88.52294921875,59.25025939941406,121.72000122070312,94.55999755859375,64.87889099121094,14.265568733215332
2019-03-06,249.41221618652344,36.35660934448242,42.6254997253418,99.07353973388672,88.7699203491211,59.1531867980957,121.61000061035156,94.0,64.57887268066406,14.196064949035645
2019-03-07,247.32582092285156,35.684444427490234,41.94991683959961,99.71601867675781,89.0680160522461,59.111568450927734,121.51000213623047,94.4800033569336,64.4404067993164,14.083121299743652
2019-03-08,246.8311767578125,35.42919158935547,41.973751068115234,100.13603973388672,89.19573211669922,59.01451110839844,122.83999633789062,93.83999633789062,64.50963592529297,14.1613130569458
2019-03-11,250.41049194335938,36.09285354614258,42.32347106933594,99.83958435058594,89.12761688232422,59.20866012573242,122.23999786376953,94.87999725341797,65.45580291748047,14.109186172485352
2019-03-12,251.35488891601562,36.280029296875,42.30757522583008,100.53968811035156,89.37458038330078,59.312686920166016,122.9800033569336,95.12000274658203,65.75586700439453,14.187376976013184
2019-03-13,253.01856994628906,36.322574615478516,42.80829620361328,100.35023498535156,89.34050750732422,59.472171783447266,123.83999633789062,97.5199966430664,66.07891845703125,14.222128868103027
2019-03-14,252.8567352294922,36.12687683105469,42.97521209716797,99.62539672851562,89.21279907226562,59.430564880371094,122.41000366210938,97.76000213623047,66.1789321899414,14.30900764465332
2019-03-15,254.10589599609375,36.6544075012207,43.44413757324219,100.2843246459961,89.49380493164062,59.486045837402344,122.97000122070312,97.5999984741211,65.97123718261719,14.491454124450684
